Hour of the day,Day of the week,Conversions
0,Sunday,0
0,Monday,0
0,Tuesday,1
0,Wednesday,1
0,Thursday,0
0,Friday,0
0,Saturday,0
1,Sunday,0
1,Monday,0
1,Tuesday,0
1,Wednesday,5
1,Thursday,0
1,Friday,0
1,Saturday,0
2,Sunday,0
2,Monday,0
2,Tuesday,0
2,Wednesday,2
2,Thursday,0
2,Friday,0
2,Saturday,0
3,Sunday,1
3,Monday,0
3,Tuesday,0
3,Wednesday,0
3,Thursday,0
3,Friday,0
3,Saturday,0
4,Sunday,0
4,Monday,0
4,Tuesday,0
4,Wednesday,0
4,Thursday,0
4,Friday,1
4,Saturday,0
5,Sunday,0
5,Monday,0
5,Tuesday,0
5,Wednesday,0
5,Thursday,0
5,Friday,0
5,Saturday,0
6,Sunday,0
6,Monday,0
6,Tuesday,0
6,Wednesday,0
6,Thursday,0
6,Friday,0
6,Saturday,0
7,Sunday,0
7,Monday,0
7,Tuesday,0
7,Wednesday,0
7,Thursday,0
7,Friday,0
7,Saturday,0
8,Sunday,0
8,Monday,0
8,Tuesday,0
8,Wednesday,0
8,Thursday,0
8,Friday,0
8,Saturday,0
9,Sunday,1
9,Monday,1
9,Tuesday,0
9,Wednesday,3
9,Thursday,2
9,Friday,0
9,Saturday,0
10,Sunday,0
10,Monday,2.33
10,Tuesday,0
10,Wednesday,0
10,Thursday,0
10,Friday,0
10,Saturday,0
11,Sunday,0
11,Monday,0
11,Tuesday,3
11,Wednesday,5
11,Thursday,2
11,Friday,0
11,Saturday,1
12,Sunday,0
12,Monday,0
12,Tuesday,3
12,Wednesday,0
12,Thursday,0
12,Friday,1
12,Saturday,1
13,Sunday,0
13,Monday,0
13,Tuesday,3
13,Wednesday,0
13,Thursday,3
13,Friday,1
13,Saturday,1
14,Sunday,0
14,Monday,6
14,Tuesday,1
14,Wednesday,0
14,Thursday,5
14,Friday,0
14,Saturday,1
15,Sunday,0
15,Monday,3
15,Tuesday,5
15,Wednesday,9
15,Thursday,2
15,Friday,1
15,Saturday,0
16,Sunday,1
16,Monday,0.01
16,Tuesday,2
16,Wednesday,0
16,Thursday,0
16,Friday,3
16,Saturday,0
17,Sunday,0
17,Monday,7
17,Tuesday,7
17,Wednesday,2.99
17,Thursday,0
17,Friday,0
17,Saturday,2.06
18,Sunday,0
18,Monday,0
18,Tuesday,1
18,Wednesday,6
18,Thursday,2
18,Friday,0
18,Saturday,2
19,Sunday,0
19,Monday,0
19,Tuesday,1
19,Wednesday,2
19,Thursday,0
19,Friday,0
19,Saturday,0
20,Sunday,0
20,Monday,0.5
20,Tuesday,2
20,Wednesday,0
20,Thursday,0
20,Friday,3
20,Saturday,2.67
21,Sunday,1
21,Monday,1.5
21,Tuesday,3
21,Wednesday,0
21,Thursday,1.99
21,Friday,1
21,Saturday,1
22,Sunday,2
22,Monday,0
22,Tuesday,0
22,Wednesday,0
22,Thursday,2
22,Friday,0
22,Saturday,0
23,Sunday,1
23,Monday,1
23,Tuesday,0
23,Wednesday,0
23,Thursday,0
23,Friday,0
23,Saturday,13
